V,T,lambda,cost_LANCET,time_LANCET,cost_GKA,time_GKA
-1,-1,1.000000,1.000000,0.000018,1.000000,0.000074
-1,-1,1.000000,3.000000,0.000010,3.000000,0.000051
-1,-1,1.000000,2.000000,0.000009,2.000000,0.000047
-1,-1,1.000000,1.000000,0.000009,1.000000,0.000050
-1,-1,1.000000,1.000000,0.000009,1.000000,0.000057
-1,-1,1.000000,2.000000,0.000009,2.000000,0.000049
-1,-1,1.000000,2.000000,0.000018,2.000000,0.000081
-1,-1,1.000000,4.000000,0.000018,4.000000,0.000072
-1,-1,1.000000,3.000000,0.000017,3.000000,0.000076
-1,-1,1.000000,3.000000,0.000018,3.000000,0.000072
-1,-1,1.000000,4.000000,0.000028,4.000000,0.000092
