V,T,lambda,h,g_min_size,cost_DPBF,time_DPBF,cost_ENSteiner,time_ENSteiner,cost_IhlerA,time_IhlerA,cost_exENSteiner,time_exENSteiner,cost_exIhlerA,time_exIhlerA,cost_FastAPP,time_FastAPP,cost_fastAPP2,time_fastAPP2,cost_ImprovAPP,time_ImprovAPP,cost_PartialOPT,time_PartialOPT,cost_exENSteinerP,time_exENSteinerP,cost_exIhlerAP,time_exIhlerAP,cost_FastAPPP,time_FastAPPP,cost_Basic,time_Basic,cost_BasicPlus,time_BasicPlus,maximum_return_app_ratio
-1,-1,1.000000,3.000000,2,1.000000,0.000021,1.000000,0.000025,1.000000,0.000015,1.000000,0.000032,1.000000,0.000013,1.000000,0.000016,1.000000,0.000025,1.000000,0.000019,1.000000,0.000054,1.000000,0.000004,1.000000,0.000002,1.000000,0.000002,1.000000,0.000052,1.000000,0.000039,1.000000
-1,-1,1.000000,3.000000,2,3.000000,0.000018,3.000000,0.000013,3.000000,0.000011,3.000000,0.000018,3.000000,0.000012,3.000000,0.000009,3.000000,0.000014,3.000000,0.000012,3.000000,0.000053,3.000000,0.000002,3.000000,0.000001,3.000000,0.000001,3.000000,0.000040,3.000000,0.000033,1.000000
-1,-1,1.000000,3.000000,2,2.000000,0.000014,2.000000,0.000012,2.000000,0.000012,2.000000,0.000015,2.000000,0.000013,2.000000,0.000009,2.000000,0.000013,2.000000,0.000013,2.000000,0.000046,2.000000,0.000001,2.000000,0.000001,2.000000,0.000001,2.000000,0.000032,2.000000,0.000027,1.000000
-1,-1,1.000000,3.000000,1,1.000000,0.000013,1.000000,0.000013,1.000000,0.000007,1.000000,0.000016,1.000000,0.000008,1.000000,0.000010,1.000000,0.000014,1.000000,0.000011,1.000000,0.000021,1.000000,0.000001,1.000000,0.000001,1.000000,0.000001,1.000000,0.000029,1.000000,0.000026,1.000000
-1,-1,1.000000,3.000000,1,1.000000,0.000011,1.000000,0.000012,1.000000,0.000007,1.000000,0.000016,1.000000,0.000008,1.000000,0.000009,1.000000,0.000013,1.000000,0.000011,1.000000,0.000019,1.000000,0.000001,1.000000,0.000001,1.000000,0.000001,1.000000,0.000028,1.000000,0.000025,1.000000
-1,-1,1.000000,3.000000,2,2.000000,0.000017,2.000000,0.000012,2.000000,0.000012,2.000000,0.000016,2.000000,0.000012,2.000000,0.000009,2.000000,0.000013,2.000000,0.000013,2.000000,0.000043,2.000000,0.000001,2.000000,0.000001,2.000000,0.000001,2.000000,0.000032,2.000000,0.000029,1.000000
-1,-1,1.000000,3.000000,1,2.000000,0.000042,2.000000,0.000022,2.000000,0.000009,2.000000,0.000027,2.000000,0.000010,3.000000,0.000016,3.000000,0.000019,2.000000,0.000018,2.000000,0.000067,2.000000,0.000002,2.000000,0.000001,3.000000,0.000001,2.000000,0.000070,2.000000,0.000056,1.000000
-1,-1,1.000000,3.000000,2,4.000000,0.000054,4.000000,0.000022,4.000000,0.000017,4.000000,0.000028,4.000000,0.000017,4.000000,0.000018,4.000000,0.000020,4.000000,0.000023,4.000000,0.000119,4.000000,0.000002,4.000000,0.000001,4.000000,0.000001,4.000000,0.000105,4.000000,0.000079,1.000000
-1,-1,1.000000,3.000000,1,3.000000,0.000040,3.000000,0.000021,3.000000,0.000010,3.000000,0.000026,3.000000,0.000010,3.000000,0.000016,3.000000,0.000019,3.000000,0.000018,3.000000,0.000053,3.000000,0.000002,3.000000,0.000001,3.000000,0.000001,3.000000,0.000083,3.000000,0.000068,1.000000
-1,-1,1.000000,3.000000,1,3.000000,0.000043,3.000000,0.000021,3.000000,0.000009,3.000000,0.000026,3.000000,0.000010,4.000000,0.000016,4.000000,0.000019,3.000000,0.000018,3.000000,0.000060,3.000000,0.000002,3.000000,0.000001,4.000000,0.000001,3.000000,0.000072,3.000000,0.000057,1.000000
-1,-1,1.000000,3.000000,1,4.000000,0.000146,4.000000,0.000032,4.000000,0.000011,4.000000,0.000038,4.000000,0.000012,5.000000,0.000022,5.000000,0.000024,4.000000,0.000025,4.000000,0.000064,4.000000,0.000003,4.000000,0.000002,5.000000,0.000002,4.000000,0.000216,4.000000,0.000159,1.000000
